Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Filipina,PHL,2000,3.6552320065902353,7.7552178972245915,15.32205269255502,14.19882480382942,12.422898683312507,13.370184256118922,12.66185379433568,8.186854108498471,13.271738099049502
Indonesia,IDN,2000,3.2094047179132916,7.764940936442701,16.085262597200884,18.95452617316621,10.675570674683762,9.467150780760877,13.628068240425993,13.32583534563569,13.21521836386843
Kamboja,KHM,2000,3.33300539361667,7.637899982083634,11.963829095018838,11.295279275435373,0.0,8.987321812850125,2.772588722239781,5.602118820879701,18.53892355833875
Malaysia,MYS,2000,3.0964441987726667,7.971795584388974,11.082157933374816,15.751850703118668,9.74368258397129,7.696667081526462,8.782783017393202,13.808054027005698,12.584909685929155
Myanmar,MMR,2000,2.864697553985633,7.622837028321424,12.790801863423264,11.00678883069037,10.118639253920785,13.414955973475974,7.386594756890272,13.362558166568656,13.635012138245497
Thailand,THA,2000,3.7809248468641736,7.85458468238365,15.313548420078702,18.032563482040906,11.446796346169297,12.950222835349019,11.61359218197036,13.37719844539828,17.35719033227003
Timor Leste,TLS,2000,3.1639160287294597,7.671648020837171,11.390192699587931,14.61423053164959,8.216358332386156,10.97337452485014,3.5281236752345424,8.55325507456126,8.006700845440367
Vietnam,VNM,2000,3.3750609724176637,7.761472448588615,14.511603894342002,12.252961002410009,11.91521588575378,11.342642354427952,11.718227600554986,8.385716828627851,0.0
Filipina,PHL,2001,3.650886882752919,7.746162044755912,15.325131008040213,14.258944955495934,13.671961613941619,6.782192056006791,13.780105739017285,13.637992884026096,13.488123921989166
Indonesia,IDN,2001,3.2269505166266406,7.760526746100409,16.050587498159462,18.857189447890434,10.606609816118151,9.44951474036292,13.627075028874268,11.778682429256065,13.16413448937009
Kamboja,KHM,2001,3.356975285977508,7.6691093689083765,12.131295218572351,11.28924426915111,0.0,8.987321812850125,1.791759469228055,5.5053315359323625,18.630504466907258
Malaysia,MYS,2001,3.097585657212747,7.961323024874484,11.112462823634855,15.807244366618521,9.74368258397129,7.820439515262181,8.782783017393202,13.808054027005698,12.536433387813373
Myanmar,MMR,2001,2.8757133267000787,7.645647166157141,13.169248871698304,11.132733288839441,10.085497810881748,12.547960782507797,8.713398915531048,12.682223591249087,13.726120718309879
Thailand,THA,2001,3.785066950799073,7.845972811869762,15.31891239326694,18.032563482040906,11.446796346169297,12.950222835349019,11.61359218197036,13.37719844539828,17.35719033227003
Timor Leste,TLS,2001,3.162778598629864,7.640753983307891,11.141876276228,14.554585715302325,8.282988692742602,10.993748398115178,3.5272424885128144,8.663991192141145,8.006700845440367
Vietnam,VNM,2001,3.4494521621377934,7.78773744049608,14.586405969744918,12.402126202028338,8.052296499538647,10.433580366159607,12.385190743390904,8.518871781794793,0.0
Filipina,PHL,2002,3.646610265021571,7.754942590401886,15.27859534381429,14.125536877998425,13.215354506651984,7.450312100909581,13.36687977355804,13.892268430314875,13.501937521852874
Indonesia,IDN,2002,3.2395508232083143,7.772411479306594,16.075738937692822,19.01834970108945,8.925454386826402,9.44951474036292,13.61944323957363,13.3656564762231,13.18754812719118
Kamboja,KHM,2002,3.378454110411768,7.713893319935532,11.911016786748448,11.247670025080003,0.0,8.987321812850125,2.833213344056216,5.1298987149230735,18.695258815281317
Malaysia,MYS,2002,3.109947851582707,7.941243559593099,11.156264806643742,15.537087698581646,9.74368258397129,7.749753406274437,8.782783017393202,13.808054027005698,12.571288511730653
Myanmar,MMR,2002,2.874504923664606,7.665816925628494,13.293625672041347,11.084877267661806,9.231495026048579,13.365302770109341,8.950096018907857,13.255795065058477,13.780519447417602
Thailand,THA,2002,3.7891919684577684,7.867806404051605,15.264613037688454,18.48511087421586,10.921450004820915,13.555178512340543,12.150715314648473,13.469229693649526,16.28243843127857
Timor Leste,TLS,2002,3.161639873309675,7.65469518524716,11.448013540793085,14.589184636650945,8.589885876809678,11.035679674467433,3.5263605246161616,8.663991192141145,8.006700845440367
Vietnam,VNM,2002,3.4482712463240643,7.8136405816615815,14.736271682725794,12.48530617433166,8.033009498596668,10.47846474758425,12.41215141821779,7.757906208351747,0.0
Filipina,PHL,2003,3.6557521549829577,7.754474729265321,15.344958061357241,14.19201087403856,13.444508903635231,7.008866780350549,13.548338836169615,13.892268430314875,13.477939117439742
Indonesia,IDN,2003,3.2499311400624857,7.780432122625243,16.203028811618246,19.045629920962693,8.925454386826402,9.647239545573877,13.560242883033514,13.389201312376445,13.179020421134842
Kamboja,KHM,2003,3.397587884093974,7.71500513095883,12.659031840166652,11.338583982516495,0.0,8.987321812850125,2.772588722239781,5.4510384535657,18.585442110807076
Malaysia,MYS,2003,3.1205807045261773,7.944113510691785,11.184435286790631,15.297952361922317,9.490151550047395,7.581209826196346,8.53050420547591,13.808980684670816,12.504959608081126
Myanmar,MMR,2003,2.8794157462818983,7.689947051481943,13.44864241082413,11.104972264124868,9.225603298642095,13.368713659787183,8.953204575218564,13.25382698363135,13.809286226944302
Thailand,THA,2003,3.793300040223955,7.873794344406223,15.26219186559924,14.377929385140607,9.503233841478497,13.627618663606647,6.005643548281252,10.848766049854937,17.606844907507124
Timor Leste,TLS,2003,3.154780155668442,7.647400331749993,11.158761651217615,14.550401228337241,8.653296274408579,11.173121684915964,3.5254777821724925,8.663991192141145,7.601402334583733
Vietnam,VNM,2003,3.4581311495462597,7.836789269536156,14.958554637989302,12.779568830632623,8.033009498596668,10.47769527278838,13.479387820261199,8.058137415134997,8.88325196914531
Filipina,PHL,2004,3.6754899144840403,7.7833785877225985,15.504385517773658,14.271776505890806,12.822454865728899,13.125813498884646,13.092186839243233,12.41261841254831,13.51971297700948
Indonesia,IDN,2004,3.2518218217074377,7.78326318223571,16.233675728550107,19.020190650121098,8.925454386826402,9.44943600950432,13.486319866430648,13.375910112233933,13.196201027309998
Kamboja,KHM,2004,3.421926727228306,7.722923480019056,12.455530907755787,11.445599061296997,0.0,8.987321812850125,2.5649493574615367,5.303304908059076,18.59333531732981
Malaysia,MYS,2004,3.122655171356756,7.951952986057359,11.184435286790631,15.559162529952795,9.74368258397129,7.7279755421055585,8.782783017393202,13.808054027005698,12.454630500172847
Myanmar,MMR,2004,2.8881467901953135,7.704714441840773,13.55557464266887,10.714439990727769,10.61808795819021,12.935119670681258,13.235153346201075,13.3974889458821,13.818215895237168
Thailand,THA,2004,3.7973913047582797,7.877478487560958,15.283724710087817,16.76650800904885,11.8100849842059,14.615872908247447,7.074455454873135,11.155793273652701,17.326942850095943
Timor Leste,TLS,2004,3.1536322805459913,7.661178550040297,11.317032228146179,14.678167152551524,8.24301946898925,11.157735132735686,3.5151211279804695,8.663991192141145,6.947937068614969
Vietnam,VNM,2004,3.48405385300935,7.861950088394412,15.048333466862934,13.386724109142557,7.7980305236530105,10.194363992558932,14.401779961295869,8.276292918512768,4.61512051684126
Filipina,PHL,2005,3.665669731336806,7.787943196800012,15.474340548619288,14.187771801990639,12.92896113594798,13.245595645654294,13.164407408933107,13.614764059629158,13.616622938543443
Indonesia,IDN,2005,3.2557643593900734,7.783509225659991,16.343148977490383,19.130593498549075,8.984818995876008,9.44951474036292,13.39741572964307,13.283688034042083,13.201281760954616
Kamboja,KHM,2005,3.444964502519584,7.746557222486087,12.420219850802969,10.511076844734427,0.0,8.987321812850125,2.772588722239781,5.303304908059076,18.479083237493036
Malaysia,MYS,2005,3.123018363998255,7.935139449860575,11.225256725762893,15.608093188302242,9.74368258397129,14.967292612678586,8.782783017393202,13.808054027005698,12.525703138538221
Myanmar,MMR,2005,2.9035392458071603,7.723805697893037,13.71403249582067,10.819798284210286,9.574469464589054,5.595454597770573,13.190082958601147,11.302409350929201,13.843074167247936
Thailand,THA,2005,3.801465899026428,7.90178926450295,15.224943886368068,13.069294389511066,9.503233841478497,14.89161916075963,11.125890159913165,10.848766049854937,17.606180192166587
Timor Leste,TLS,2005,3.1524830862919004,7.665818097062331,11.431932305760697,14.632936961524296,8.417372856134026,11.099725519988677,3.58351893845611,8.663991192141145,6.90875477931522
Vietnam,VNM,2005,3.5006945982087516,7.858050605222893,15.147111376715772,13.830906233997803,7.7980305236530105,9.678341121797354,14.41663433136007,8.276292918512768,5.303304908059076
Filipina,PHL,2006,3.684793746999131,7.805816416894195,15.620862233211763,14.326100553972225,13.648855321023506,6.750165358407366,13.754084840356272,13.658637542608618,13.637054719643277
Indonesia,IDN,2006,3.2779314375782644,7.790594868076121,16.26733118551101,19.137668911157593,11.748163581277062,9.407222080101468,13.397749868050559,13.283688034042083,13.23518264726703
Kamboja,KHM,2006,3.4447837367228735,7.7678374986580705,12.839838649624987,11.241575953806008,0.0,8.987321812850125,2.5649493574615367,5.303304908059076,18.51864051049953
Malaysia,MYS,2006,3.115052874247299,7.937493867633522,11.289794413577894,15.571149377207236,9.74368258397129,14.982835145429165,8.782783017393202,13.808054027005698,12.614828267288747
Myanmar,MMR,2006,2.9310229572297364,7.755076653378598,13.831188021794555,10.87806606028079,9.764650682149908,12.233925498321431,13.831689372272358,12.496537592193073,13.826192304436129
Thailand,THA,2006,3.805523958326625,7.9259828042601015,15.18117686621801,13.036075580022368,9.916847904237965,15.086336911057279,11.125890159913165,10.180998069666412,17.59386707135667
Timor Leste,TLS,2006,3.1513325698708035,7.661702595366798,11.686752713728476,14.620236008819768,7.783640596221253,11.293574711894715,3.5275363037051735,10.588360596643827,6.90875477931522
Vietnam,VNM,2006,3.5031275731580673,7.86025662126944,15.164752114318443,14.151532407462145,8.068630376317346,5.221663078358412,14.945906873489571,8.381190175417029,5.707110264748875
Filipina,PHL,2007,3.702318773739744,7.8276166684642305,15.723116522297206,14.346274093992667,13.489646336864345,7.047169334764815,13.5634110501605,13.637992884026096,13.691194855830842
Indonesia,IDN,2007,3.29765062614731,7.807192098224735,16.40233640887377,19.195669725154815,9.472781556562168,9.355997944398545,13.299779421822763,13.33432399211893,13.240791644853902
Kamboja,KHM,2007,3.4447837367228735,7.77176262649138,13.167338655091122,11.11395422597838,0.0,8.987321812850125,2.70805020110221,5.303304908059076,18.594805221299296
Malaysia,MYS,2007,3.1193656947063584,7.944356764695174,10.37586336592692,15.52346523089605,9.74368258397129,14.772157127724562,8.782783017393202,13.808054027005698,12.401468567438657
Myanmar,MMR,2007,2.962052308885354,7.787886587968824,13.936046246038856,11.134603622683905,9.764650682149908,12.233715321912388,14.23595754186892,12.496537592193073,13.852684948056702
Thailand,THA,2007,3.8095222443923786,7.9101257206454525,15.173976012210458,14.416475780727426,9.916847904237965,14.61503926777023,11.454507863391928,10.180998069666412,17.594706754490478
Timor Leste,TLS,2007,3.1501807282368417,7.654597006114611,11.177830279778336,14.527407311553329,7.852050207265889,11.525041765248806,3.523709956137547,10.364008866392371,7.00397413672268
Vietnam,VNM,2007,3.5023795219436966,7.8777574551612375,15.274869722326345,14.399335719797838,8.002785158478218,5.145317690728116,14.944572514071586,8.75115798136203,5.993961427306569
Filipina,PHL,2008,3.7203547548532168,7.831668565231834,15.75111434993946,14.278933204971331,13.489646336864345,7.047169334764815,13.5634110501605,13.637992884026096,13.893945512356403
Indonesia,IDN,2008,3.303376651895003,7.816958272074089,16.608142258515578,19.183833354522147,9.472781556562168,9.502562124469996,13.195539598469935,13.33432399211893,13.263317547923425
Kamboja,KHM,2008,3.4447837367228735,7.77685683042819,13.324268583272117,11.36541104968168,7.668093709082406,8.987321812850125,2.639057329615259,5.303304908059076,18.557008840901037
Malaysia,MYS,2008,3.1251586534396973,7.923313079114525,10.403049984023408,15.407505828145531,9.74368258397129,14.524803688316855,8.709630081951286,13.808980684670816,12.63045835807977
Myanmar,MMR,2008,2.9852776980968865,7.827809440263649,13.985000980038047,10.529452721013085,9.574469464589054,5.732220908418978,10.24498286663967,11.302409350929201,13.871064463046
Thailand,THA,2008,3.813547807357506,7.900821405131478,15.26227776467729,14.377929385140607,9.503233841478497,13.627618663606647,6.005643548281252,10.848766049854937,17.606844907507124
Timor Leste,TLS,2008,3.163347475398055,7.648297508133038,11.514663952923948,14.627817381776982,7.711996507047669,11.342528526464566,3.519868911379654,10.364008866392371,7.0909098220799835
Vietnam,VNM,2008,3.5186831219932375,7.894815404725813,15.33570208855418,14.61267138756428,7.749753406274437,5.079949891601619,14.9835173085822,8.752518246032492,6.2166061010848646
Filipina,PHL,2009,3.7276403664088487,7.834911962005192,15.766270925669438,14.364909185164887,13.395241713260297,6.934591932935697,13.611518196316624,13.614764059629158,14.01687383172052
Indonesia,IDN,2009,3.316826818602563,7.840959684828751,16.6850978633983,19.148798566007763,10.611547975828369,8.853808274977197,13.070897647097928,13.33432399211893,13.270129548129818
Kamboja,KHM,2009,3.4400236402744757,7.781353267576242,13.736496570976124,10.914251750631042,7.755338812846501,8.987321812850125,1.791759469228055,5.303304908059076,18.45797522811718
Malaysia,MYS,2009,3.1344217374745247,7.93958877898624,10.502241632645898,15.500155103089238,9.74368258397129,15.021998596435076,8.782783017393202,13.808054027005698,13.512404816568234
Myanmar,MMR,2009,2.9978958581489357,7.843189126604885,14.01902348318925,10.74937727911096,8.627302414096267,12.210515620881525,13.825177680400893,12.275486761614493,13.882877575132767
Thailand,THA,2009,3.8175572301171536,7.886453137184853,15.345065083365965,15.323622338990583,12.277066753207505,10.951595288309898,5.863665265926106,11.330100581528665,16.92148027062888
Timor Leste,TLS,2009,3.1678868766165653,7.62610801372615,11.81092413782396,14.58383895597269,7.7039102096163115,11.226349447280967,3.5157158351047473,10.020461371976479,7.170888478512505
Vietnam,VNM,2009,3.523615906587233,7.898072713993491,15.290662736186906,14.623713146472967,10.208734456167381,5.074673690192144,15.013937532565304,8.899485198557949,6.2166061010848646
Filipina,PHL,2010,3.7276403664088487,7.788268355570705,15.668176491640338,14.27403163936168,13.567250973179723,7.006514051005401,13.621961730576514,13.637992884026096,13.998832447591798
Indonesia,IDN,2010,3.3166651351747802,7.853732882566495,16.723920697157656,19.264325085503046,9.137597621329498,9.018089684104343,13.100315703876726,13.33432399211893,13.29397377398785
Kamboja,KHM,2010,3.4495470112864384,7.832815248453736,13.558383555068954,10.444386409308262,8.183676582620658,9.06323150693797,1.6094379124341003,5.303304908059076,18.440575043517104
Malaysia,MYS,2010,3.1566020734780134,7.9496219627106255,10.77065106344359,15.43503275267569,9.74368258397129,14.634858137459842,8.709630081951286,13.808980684670816,13.452340279222437
Myanmar,MMR,2010,3.0044244484464415,7.897097791149996,14.118869848135107,10.96648993456911,8.990067695753655,12.928644973769222,13.828866666724553,12.938930803659543,13.92501497578743
Thailand,THA,2010,3.8215506415806253,7.917130989463039,15.396702687769176,15.319269539607385,12.277066753207505,12.392906465070627,5.768320995793772,11.330100581528665,16.196345971727276
Timor Leste,TLS,2010,3.16675395667779,7.723200266043479,11.910975012312797,14.812959879299623,7.919719760924575,11.422289344710784,3.511843901749219,10.842478669931058,7.170888478512505
